jurisdiction,snap_apt_pct_timely
Wisconsin,95.62
Illinois,93.56
Rhode Island,93.52
Nevada,93.09
Alabama,93.02
Ohio,91.93
Maryland,91.04
Idaho,91.02
Wyoming,90.43
Washington,90.36
Arizona,90.29
Pennsylvania,90.29
Utah,89.82
New Hampshire,89.32
Connecticut,89.11
Nebraska,88.96
Oklahoma,88.65
Kentucky,87.38
Louisiana,87.08
South Dakota,85.89
Massachusetts,85.45
Vermont,84.47
North Carolina,84.4
Virginia,83.23
Kansas,81.99
New York,81.61
Minnesota,80.37
California,80.21
Indiana,80.04
Mississippi,79.38
Missouri,78.28
U.S. Virgin Islands,77.63
New Jersey,77.61
Michigan,76.05
West Virginia,75.8
Texas,75.48
Delaware,75.08
South Carolina,73.48
Oregon,71.83
Hawaii,68.87
Georgia,67.22
Montana,66.88
Colorado,66.87
Maine,64.93
Iowa,64.66
Florida,63.31
Arkansas,61.94
Alaska,57.93
North Dakota,57.02
District of Columbia,56.73
New Mexico,52.36
Guam,50.86
Tennessee,42.72
